Ligne N : La verrière - Rambouillet ralenti Axe concerné :La Verrière - RambouilletPrévoir un allongement du temps de trajet de 10 à 20 minutes, dans les deux sens .Fin des ralentissements estimée à 18h00.Motif : dysfonctionnement d'installation technique au Perray ( incident terminé ).SNCF Transilien
Métro 3 bis Trafic ralenti : (Gambetta - Porte des Lilas) : En raison d'un incident technique, le trafic est ralenti sur la ligne. 
Orlyval : Trafic Interrompu Antony - Orly-Sud: En raison d'une panne électrique, le trafic est interrompu sur l'ensemble de la ligne. Un service de remplacement de bus est mis en place entre la gare d'Antony et Orly Ouest. Possibilité de prendre le tramway T7 ou Orlybus. 
Ligne L : Noisy le Roi/St GermainGC interrompu Axe(s) concerné(s) :Noisy le Roi/Saint-Germain en Laye Grande CeintureTrafic interrompu entre Noisy le Roi et Saint-Germain en Laye Grande Ceinture, dans les deux sens.Reprise des circulations estimée à 09h30.Un service de bus de remplacement est mis en place, dans les deux sens, entre Noisy le Roi et Saint-Germain en Laye Grande Ceinture, avec desserte des gares intermédiaires.L'arrêt de bus pour la gare de Saint Nom la Bretèche Forêt de Marly est situé au niveau de la route forestière des Muses.MOTIF : rames immobilisées en atelier de maintenance.SNCF Transilien
Ligne P : dessertes modifiées Meaux La Ferté. Entre 12h00 et 20h00, des limitations de vitesse, imposées par de fortes chaleurs, perturbent la circulation des trains sur la Ligne P - axe Paris Est / Meaux / La Ferté Milon.		Une modification du plan de transport est nécessaire.		Un allongement du temps de parcours est à prévoir, ainsi que le remplacement de certains trains par des autocars entre Lizy sur Ourcq et La Ferté Milon.	SNCF Transilien.
Métro 5 Trafic reprend : (Bobigny - Pablo Picasso - Place d'Italie) : En répercussion d'une intervention des équipes techniques, le trafic reprend progressivement sur la ligne. 
Métro 5: Trafic ralenti  Bobigny - Pablo Picasso - Place d'Italie: En raison d'un malaise voyageur, le trafic est ralenti sur l'ensemble de la ligne. 
Ligne T4 : trafic ralenti 16, 17 et 18 avril Axe(s) concerné(s) :Ensemble de la ligne.Prévoir jusqu'à 9 minutes entre chaque tramway, dans les deux sens, jusqu'en fin de soirée.Motif : rames immobilisées en atelier de maintenance.SNCF Transilien
Travaux nocturnes à Guignes Commune de GuignesNuit du mercredi 15 au jeudi 16 avril 2015et la nuit du jeudi 16 au vendredi 17 avril 2015Entre 20h00 et 6h00Travaux nocturnes de refection de chausséeDes retards sont à prévoir sur votre ligne sur les services circulant entre 20h00 et 6h00Nous vous remercions de votre compréhention.
Métro 9: Trafic ralenti  Pont de Sèvres - Mairie de Montreuil) : En répercussion d'un malaise voyageur, le trafic est ralenti sur l'ensemble de la ligne. 
T 5: trafic Interrompu Marché de Saint-Denis - Garges Sarcelles: En raison d'une panne de matériel, le trafic est interrompu sur l'ensemble de la ligne. 
Crosne/Yerres - Travaux de nuit Avenue du Général Leclerc Nous vous informons qu'en raison des travaux Avenue du Général Leclerc entre Crosne et Yerres dans les nuits du mercredi 15 avril au mardi 05 mai entre20h00 et 6h00, une déviation est mise en place. Les arrêts :  * "Léthumiere, Bulottes, Longaines et Peupliers" sont supprimés.  * "Boileau" est reporté à l'arrêt du "8 Mai 1945" (Avenue de l'Europe).Merci de votre compréhension.
LigneL: Paris/St-NomBretèche/VersaillesRD ralenti Axe(s) concerné(s) :- Paris / Saint-Nom la Bretèche Forêt de Marly- Paris / Versailles Rive Droite- Paris - Saint-CloudPrévoir 10 à 20 minutes supplémentaires de trajet, dans les deux sens.Fin des ralentissements estimée à 20h30.Motif : acte de malveillance à La Défense (incident terminé). SNCF Transilien
Ligne L, axe Noisy le Roi / St  Germain GC Ligne L, axe Noisy le Roi / Saint Germain Grande Ceinture :Trafic interrompu dans les 2 sens de circulation toute la journée.Les trains sont remplacés par des bus.Pour la gare de Saint Nom la Bretêche, l'arrêt de bus est situé au niveau de la route forestière des Muses.MOTIF : Rames immobilisées au garage.SNCF Transilien
Métro 13 : Panne de matériel En répercussion d'une panne de matériel, le trafic est ralenti sur l'ensemble de la ligne. 
