Ligne N : Plaisir Grignon / Dreux ralenti Axe(s) concerné(s) :Paris / DreuxReprise progressive du trafic entre Plaisir Grignon et Dreux, dans les deux sens.Prévoir jusqu'à 30 minutes supplémentaires de trajet.Fin des ralentissements estimée à 20h30.Motif : acte de malveillance et intervention des forces de l'ordre à Dreux.SNCF Transilien
Ligne H : Epinay  - Persan / Pontoise ralenti Axes concernés :- Paris Pontoise- Paris - Valmondois / Persan BeaumontReprise progressive du trafic entre Epinay Villetaneuse et Persan Beaumont et Epinay Villetaneuse et Pontoise, dans les deux sensPrévoir 10 à 20 minutes supplémentaires de trajet.Fin des ralentissements estimée à 15h00.Motif : personne sur les voies à Enghien les BainsSNCF Transilien
Ligne L : Cergy le Haut - Paris  ralenti Axe concerné :Paris/Cergy le Haut.Prévoir 10 à 20 minutes supplémentaires de trajet, dans le sens Cergy - Paris ( trains déviés par Poissy )Fin des ralentissements estimée à 11h30.Motif : incident affectant la voie à Achères ( incident terminé )SNCF Transilien
Ligne L : St Cloud/St-Nom la Bretèche interrompu Axe(s) concerné(s) :Paris Saint-Lazare - Saint-Nom la BretècheTrafic interrompu entre Saint-Cloud et Saint-Nom la Bretèche, dans les deux sens jusqu'en fin de soirée.Un service de bus de remplacement est mis en place entre Saint-Cloud et Saint Nom la Bretèche, dans les deux sens, avec desserte des gares intermédiaires (excepté L'Etang la Ville).Motif : défaut d'alimentation électrique consécutif à la chute d'un arbre à L'Etang la Ville.SNCF Transilien
Ligne K : suppressions Crépy en Valois/Paris Axes concernés :Crépy en Valois/ParisParis/Crépy en ValoisTrains supprimés : - Crépy en Valois 09h22 - Mitry Claye 09h58 - Crépy en Valois 11h36 - Mitry Claye 12h09 ( substitution bus )- Mitry Claye 10h16 - Crépy en Valois 10h49 ( substitution bus )- Mitry Claye 13h16 - Crépy en Valois 13h49 ( substitution bus )Motif : avarie matérielSNCF Transilien
M9 Travaux de rénovation du 14/03 au 15/03 inclus En raison de travaux de rénovation, le trafic est interrompu entre les stations Mairie de Montreuil et Nation. Une navette de remplacement est mise à votre disposition. 
Ligne R : Paris - Montereau / Montargis le 14 mars Des travaux de maintenance modifient la circulation des trains sur l'axe Paris Lyon - Melun - Montereau / Montargis, le samedi 14 mars, à partir de 21h00.Les trains sont retardés à l'arrivée à Melun et jusqu'à la fin du parcours.SNCF Transilien
Métro 3: trafic perturbé (Pont de Levallois Bécon - Gallieni) : En répercussion d'un incident voyageur, l'arrêt n'est pas marqué à la station Villiers en direction de Pont de Levallois. 
Ligne L: Paris-Versailles  ralenti Axes concernés:Paris-Versailles RDPrévoir 10 à 15 minutes supplémentaires de trajet, dans les deux sens.Fin des ralentissements estimée à 11h00.Motif: personnes dans les voies à Montreuil ( incident terminé )SNCF Transilien
Brunoy - Carnaval Nous vous informons qu'en raison du Carnaval de Brunoy ce Samedi 14 mars de14h00 à 16h30, les lignes C1, C2 et D seront ponctuellement bloquées àdifférents endroits de la commune. Des retards seront à prévoir.Merci de votre compréhension.
