Métro 5: Le trafic ralenti  Bobigny - Pablo Picasso - Place d'ItalieEn répercussion d'un malaise voyageur à Laumiere, le trafic est ralenti sur l'ensemble de la ligne. 
T4 Bondy-Aulnay: Maintenance des rames De nombreuses rames étant immobilisées dans les centres de maintenance, le trafic est perturbé sur le T4.Le temps d'attente entre 2 tramways peut atteindre 18 minutes jusqu'à 09h30 sur les axes- Bondy - Aulnay sous Bois- Aulnay sous Bois - BondySNCF Transilien
BUS RATP:MANIFESTATION A noter, Vendredi 19 décembre, à partir de 10h30, rassemblement rue du 4 septembre, place de l'Opéra puis défilé rue Richelieu, rue Saint-Honoré, place du Palais Royal jusqu'aux abords du ministère de la culture et de la communication et rue de Valois où aura lieu la dislocation du cortège. Lignes de bus perturbées dans ces secteurs : 20, 21, 27, 29, 39, 48, 67, 68, 81, 95.
Ligne N : Paris/Dreux  ralenti Axe concerné :- Paris - Dreux.Prévoir 15 à 20 minutes supplémentaires de trajet, dans ce sens jusqu'en fin de soirée.Motif : incident affectant la signalisation à Houdan.Retrouvez l?horaire de votre prochain train en temps réel sur les sites internet ou votre application. SNCF Transilien
Métro 5 Trafic Ralenti : En répercussion d'un malaise voyageur, le trafic est ralenti sur l'ensemble de la ligne. 
METRO 8: TRAFIC RALENTI Balard – Créteil - Pointe du LacEn répercussion d'un incident technique, le trafic est ralenti sur l'ensemble de ligne 
Epinay-sous-Sénart - "Circuit en Calèche" Nous vous informons qu'en raison du "Circuit en Caleche" ce dimanche 21 décembre de 9h00 à 18h00 à Epinay sous Sénart, une déviation est mise en place. Les arrêts :  * "Espérance" est reporté sur l'avenue du 8 mai 1945,  * "HDV" est supprimé,  * "Boisselet" est reporté à l'arrêt provisoire Rue du Petit Pont.Merci de votre compréhension.
RER B :  Châtelet les Halles non desservi Axes concernés :- Aéroport Charles de Gaulle 2 TGV - Paris,- Mitry Claye - Paris,- Paris - Robinson,- Paris - Saint Rémy lès Chevreuse.Châtelet les Halles, non desservi, en direction de Robinson et Saint Rémy lès Chevreuse.Depuis Gare du Nord, les voyageurs sont invités à emprunter un train de la ligne D du RER qui dessert normalement Châtelet les Halles.Motif : bagage abandonné à Châtelet les Halles.SNCF Transilien
Ligne H : Ermont/Paris ralenti Axes concernés :Persan/Paris via Valmondois Pontoise/ParisPrévoir 10 à 20 minutes supplémentaires de trajet, dans les deux sens.Fin des ralentissements estimée à 11h30.Motif : bagage abandonné à Enghien-les-Bains.Retrouvez l?horaire de votre prochain train en temps réel sur les sites internet ou votre application. SNCF Transilien
RER C : Dourdan la Forêt/Paris ralenti Axe concerné :Paris/Dourdan la ForêtDourdan la Forêt/ParisReprise progressive du trafic entre Dourdan la Forêt et Brétigny-sur-Orge, dans les deux sens.Prévoir 20 à 30 minutes supplémentaires de trajet.Fin des ralentissements estimée à 09h30.Motif : incident affectant la voie à Brétigny-sur-Orge.Retrouvez l?horaire de votre prochain train en temps réel sur les sites internet ou votre application. SNCF Transilien
Nuit de la St Sylvestre En raison des fêtes mercredi 31 décembre 2014, le départ d'Evry de 23h15 et le départ de Ris-Orangis de 23h12 sont supprimés.
Métro 4 Trafic Ralenti : En répercussion d'une panne de matériel, le trafic est ralenti sur la ligne. 
Ligne J: Paris-Mantes via Conflans-Gisors ralenti Axes concernés :- Paris - Mantes la Jolie via Conflans Sainte-Honorine,- Paris - Pontoise - Gisors. Prévoir 10 à 30 minutes supplémentaires de trajet, dans les deux sens.Fin des ralentissements estimée à 21h00.Motif : divers incidents (signaux d'alarme, avaries sur le matériel, personnes dans les voies à Maisons Laffitte)Retrouvez l?horaire de votre prochain train en temps réel sur les sites internet ou votre application. SNCF Transilien
Ligne P : Paris - Coulommiers ralenti Axe concerné :- Paris- Coulommiers.Reprise progressive du trafic entre Mortcerf et Coulommiers, dans les deux sens.Prévoir 20 à 30 minutes supplémentaires de trajet.Fin des ralentissements estimée à 21h00.Motif : Panne d'un train à Mortcerf.Retrouvez l?horaire de votre prochain train en temps réel sur les sites internet ou votre application.SNCF Transilien
